Date,C_BMW_return,C_BMW VZ_return,C_Dom Development S.A._return,C_SpareBank 1 Helgeland_return,C_Føroya Banki_return,C_Sandnes Sparebank_return,C_Totens Sparebank_return,C_Aurskog Sparebank_return,C_Lollands Bank A/S_return,C_Møns Bank A/S_return
2018-01-01,0.0033807959460635225,0.0038872517579750646,0.001974646836419441,0.0036636370611685793,0.010046561255187453,0.0012515511183585752,-0.0008244012203522148,-0.0013138405357122915,-0.014946977799929945,0.006415445891997608
2018-01-02,0.0033807959460635225,0.0038872517579750646,0.001974646836419441,0.0036636370611685793,0.010046561255187453,0.0012515511183585752,-0.0008244012203522148,-0.0013138405357122915,-0.014946977799929945,0.006415445891997608
2018-01-03,0.0026620477258989398,0.0028806403417172676,0.0025566226610028407,0.002616531032758422,0.008298156509643776,-0.00037786315766979897,-0.0008244012203522148,-0.00028276335030939293,0.0032494935356016355,-0.0006102353914212381
2018-01-04,0.001533476232876055,0.0005418745908711283,0.0027178717862187556,-0.0002631720251529022,0.00717248597496459,0.003276549662652607,-0.0008244012203522148,0.00022613382498836397,-0.0054370712765778335,-0.00038456466013967144
2018-01-05,0.0010404209982027796,-0.00010474959871314331,0.0008038244740979717,0.0044113512725267945,0.010681822453624902,0.001993563353216974,-0.0008244012203522148,-0.0007445426693529078,0.0010059108576956207,-0.00494622019694637
2018-01-06,0.0014151289706681772,0.0013996782201010538,0.00047942254238076765,0.00834816362481525,0.013041275105736942,3.619683975947198e-05,-0.0008244012203522148,-0.0013138405357122915,0.004710212039599709,-0.0014169492825157222
2018-01-07,0.004655054035761839,0.0038307282155121535,0.00284841981945612,0.00680720948150405,0.013481424657432704,0.00011880589698658356,-0.002589022589976844,-0.0013138405357122915,0.0012447001778261586,0.003244547409578402
2018-01-08,0.0030934091921148727,0.00198945614473611,0.0024304209969577316,0.004755012299718744,0.011052097037197891,-0.00428316006543497,-0.0012994384974466,-0.00044429207783088464,0.010590074392657741,0.007703511696004384
2018-01-09,0.0014620014690342467,0.0001498963462415935,0.0011946433331784328,0.0013913834626660456,0.00951804891153914,0.00043280589144078076,-0.0024575405612208244,0.0015347682532481275,-0.0011236555337959192,0.00704949271415109
2018-01-10,0.0017865877598769485,0.0019776443791780928,0.0017915078765437875,0.0012794813969088724,0.005037836514329662,0.006313957257218774,-0.001195236465986376,-0.00012507982846138397,-0.005899935144296946,-0.005523330691531889
2018-01-11,0.006959930185869931,0.005476729246590786,0.004089311316646285,0.0017157752764909607,-0.00370978145282631,0.0030806916993151357,-0.0007954732609898341,-0.001018014394308613,0.0007378254558365999,-0.003001827960599944
2018-01-12,0.0050563395233639424,0.004612115048978402,-0.002971196406664517,-0.00024203889254900452,-0.0022528511630909324,0.0028147287122696515,-0.0003777972141613628,0.0013162986874534442,-0.010205725477295861,-0.003675830533758965
2018-01-13,0.00328553034335815,0.0007509047230967993,-0.0025267836655175242,0.001283089392349958,0.0037001903097324696,0.00018877330562478095,0.0017553015679605817,0.0013162986874534442,-0.0035718527965421295,-0.0009206708065056188
2018-01-14,0.00587902293508895,0.004526350812600715,-0.004283858589963157,0.0033825576660565836,0.006496856872455538,0.00011805672243642135,7.274011386495797e-05,0.0024922719041606018,-0.0034232476345076924,0.003224396142267584
2018-01-15,0.006955702398232449,0.004388006029951609,0.0015691556085601342,3.724883158197877e-05,0.007123143636947119,-0.003637440884276776,-0.0012485475541986874,0.0013027035620676358,0.0012237182232671998,0.003882234142844368
2018-01-16,0.005692044088778852,0.0034155824890057247,-0.0024586903616810353,0.0004665760627159713,0.0013652612217659218,-0.003504948084816333,-0.0007333489121372156,0.0013027035620676358,0.004012466949368988,0.002151533868859887
2018-01-17,0.005500941795382511,0.007187548133811214,-0.0039125660704526066,0.004789435432961693,-0.0013757269228141813,0.0016934336575206727,0.0016050418054953382,-9.169795410490203e-05,-0.0012157063096049007,-0.0009160828184936131
2018-01-18,0.006917807979211115,0.0075619914574864945,-0.0030703279575261047,0.002533219369460102,-0.0036106826716630794,0.0028796685503356943,0.0015858085559776656,0.0001576016444203754,-0.006964524505716647,0.0028914302223921663
2018-01-19,0.004020288376967581,0.004322414416737154,-0.003527470072450554,-0.0015865326693906296,-0.005809954534879779,0.00014703389252836423,0.0005624705913476228,0.0013027035620676358,-0.0016540995096184716,-0.005488317088850985
2018-01-20,0.0029357133409685836,0.0010312711307223768,-0.0011801513003943144,-0.0001981621638636054,-0.003885655722212833,-0.00561859465213557,5.815821646797588e-05,0.0018840649973635194,-0.00033244412444173176,-0.0019741060359160937
2018-01-21,0.0015685743468552473,0.0013305342835705832,-0.007125344398431273,0.002035659000860336,-0.006763757297647325,-0.0032895984492719867,5.815821646797588e-05,0.0018840649973635194,0.0001664405366882322,0.00011133168126208418
2018-01-22,0.00077595753101477,-0.0007864067315177071,-0.006093955849108079,0.005602910080818808,-0.00620596946927274,-0.0005624795046687427,0.0015904399747299716,0.0007081106602674701,6.461454293744549e-05,0.0028646985954696494
2018-01-23,9.569825228493954e-05,0.0011398537707910908,-0.003837962828519421,0.0030720785343404155,-0.002389614985007854,0.0001387162624817568,-0.00020774077300934478,0.0007081106602674701,-0.0002762870800336564,-0.0006186857198892163
