Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,5.203792604023978,5.227127996867135,5.180457211180822,5.215460300445557,449200,0.0,0.0
1982-01-04,5.133787094185886,5.215460979775207,5.040445510655234,5.110451698303223,630400,0.0,0.0
1982-01-05,4.947107617671674,5.0287815641898375,4.853765964508057,4.853765964508057,1076800,0.0,0.0
1982-01-06,4.807089805603027,4.842092886711787,4.760419030791347,4.807089805603027,1560400,0.0,0.0
1982-01-07,4.748753459146708,4.830427351564464,4.667079566728951,4.71375036239624,1303600,0.0,0.0
1982-01-08,4.783757181797167,4.81876028312739,4.737086380023537,4.77208948135376,991200,0.0,0.0
1982-01-11,4.702081873937306,4.830426540471575,4.573737207403037,4.597072601318359,1479600,0.0,0.0
1982-01-12,4.6670800668221935,4.737086267824527,4.585406165652805,4.725418567657471,1089600,0.0,0.0
1982-01-13,4.725420745936307,4.8771009180280895,4.562072868299003,4.620411396026611,1231200,0.0,0.0
1982-01-14,4.6787477669892485,4.725418567657471,4.620409266153971,4.725418567657471,1068400,0.0,0.0
1982-01-15,4.737086772918701,4.760422175740961,4.702083668685312,4.737086772918701,724400,0.0,0.0
1982-01-18,4.702083278693313,4.77208948135376,4.632077076032867,4.77208948135376,897600,0.0,0.0
1982-01-19,4.702081485719464,4.772087661685511,4.632075309753418,4.632075309753418,722000,0.0,0.0
1982-01-20,4.562070340376634,4.643744233938364,4.468728747734657,4.550402641296387,1852800,0.0,0.0
1982-01-21,4.5270680837680635,4.5970742912490135,4.457061876287114,4.503732681274414,1187200,0.0,0.0
1982-01-22,4.480394151475695,4.538732616989701,4.410387992858887,4.410387992858887,868000,0.0,0.0
1982-01-25,4.515399337711191,4.655411720275879,4.363719256599445,4.655411720275879,1900800,0.0,0.0
1982-01-26,4.620408835777869,4.678747331179106,4.550402641296387,4.550402641296387,1143200,0.0,0.0
1982-01-27,4.655413203108638,4.737087118952649,4.573739287264627,4.678748607635498,1310800,0.0,0.0
1982-01-28,4.80709142091742,4.888765304282521,4.713749839928732,4.8770976066589355,1169200,0.0,0.0
1982-01-29,5.0171066103158175,5.075445059272978,4.958768161358657,5.040441989898682,2861600,0.0,0.0
1982-02-01,4.830427441608701,4.9354367338175855,4.725418149399816,4.748753547668457,1345200,0.0,0.0
1982-02-02,4.772088497292762,4.818759289442324,4.7137500071058085,4.760420799255371,1434400,0.0,0.0
1982-02-03,4.667080637744016,4.807093056876337,4.527068218611696,4.562071323394775,1294800,0.0,0.0
1982-02-04,4.597074196338654,4.667080402374268,4.527067990303039,4.667080402374268,1818000,0.0,0.0
1982-02-05,4.7254180613130625,4.807091953730819,4.632076469978484,4.71375036239624,1472000,0.0,0.0
1982-02-08,4.5620687385658165,4.643742603450626,4.480394873681006,4.492062568664551,1396400,0.0,0.0
1982-02-09,4.515398566091581,4.5970724419640385,4.433724690219123,4.538733959197998,1279200,0.0,0.0
1982-02-10,4.620406004847313,4.690412156435908,4.538732161327284,4.573735237121582,1146000,0.0,0.0
1982-02-11,4.515399306232393,4.59707319549241,4.433725416972375,4.457060813903809,1359200,0.0,0.0
1982-02-12,4.492063969373703,4.527067065238953,4.4453931748867035,4.480396270751953,1182800,0.0,0.0
1982-02-16,4.515396990368713,4.643741607666016,4.387052373071412,4.643741607666016,1678400,0.0,0.0
1982-02-17,4.60873831291588,4.643741388710177,4.56206754519015,4.573735237121582,1125200,0.0,0.0
